"ASSOCIATION_TYPE"	"PMID"	"NUM_SENTENCE"	"ENTITY1_TEXT"	"ENTITY1_INI"	"ENTITY1_END"	"ENTITY1_TYPE"	"ENTITY2_TEXT"	"ENTITY2_INI"	"ENTITY2_END"	"ENTITY2_TYPE"	"SENTENCE"
"PA"	17274718	9	"gingival overgrowth"	107	126	"Diseases & Disorders"	"CsA"	95	98	"Chemicals & Drugs"	"These results suggest that CsA can modulate the expression of ET-1 in gingival fibroblasts and CsA-induced gingival overgrowth."
"FA"	17274718	2	"periodontitis"	91	104	"Diseases & Disorders"	"CsA"	145	148	"Chemicals & Drugs"	"Gingival samples were collected from eight normal healthy individuals, eight patients with periodontitis, and eight patients with cyclosporin A (CsA)-induced gingival overgrowth."
"PA"	17274718	2	"gingival overgrowth"	158	177	"Diseases & Disorders"	"cyclosporin A"	130	143	"Chemicals & Drugs"	"Gingival samples were collected from eight normal healthy individuals, eight patients with periodontitis, and eight patients with cyclosporin A (CsA)-induced gingival overgrowth."
"PA"	18640477	10	"mild asthma"	95	106	"Diseases & Disorders"	"montelukast"	27	38	"Chemicals & Drugs"	"The evidence suggests that montelukast is an effective monotherapy controller in children with mild asthma."
"FA"	18640477	0	"mild asthma"	78	89	"Diseases & Disorders"	"montelukast"	28	39	"Chemicals & Drugs"	"Review of recent results of montelukast use as a monotherapy in children with mild asthma."
"FA"	18640477	5	"mild asthma"	92	103	"Diseases & Disorders"	"montelukast"	117	128	"Chemicals & Drugs"	"This article reviewed recent results from randomized, double-blind studies of children with mild asthma treated with montelukast, a leukotriene receptor antagonist that is approved for the treatment of asthma and allergic rhinitis in children and adults."
"PA"	18640477	6	"mild asthma"	235	246	"Diseases & Disorders"	"montelukast"	171	182	"Chemicals & Drugs"	"A literature search of MEDLINE was conducted to gather relevant, English-language articles using search terms such as randomized controlled studies, double-blind studies, montelukast, leukotriene receptor antagonist, pediatric asthma, mild asthma, exercise-induced asthma, and bronchoconstriction."
"PA"	18640477	9	"asthma"	151	157	"Diseases & Disorders"	"montelukast"	105	116	"Chemicals & Drugs"	"The results from these studies, encompassing end points measuring lung function and symptoms, found that montelukast provided effective and beneficial asthma control to children aged 2 to 14 years with mild asthma."
"PA"	18640477	5	"allergic rhinitis"	213	230	"Diseases & Disorders"	"montelukast"	117	128	"Chemicals & Drugs"	"This article reviewed recent results from randomized, double-blind studies of children with mild asthma treated with montelukast, a leukotriene receptor antagonist that is approved for the treatment of asthma and allergic rhinitis in children and adults."
"PA"	18953065	12	"leukoencephalopathy"	115	134	"Diseases & Disorders"	"procarbazine"	38	50	"Chemicals & Drugs"	"The combination of high-dose MTX with procarbazine and CCNU is feasible and effective and results in a low rate of leukoencephalopathy."
"PA"	18953065	12	"leukoencephalopathy"	115	134	"Diseases & Disorders"	"high-dose MTX"	19	32	"Chemicals & Drugs"	"The combination of high-dose MTX with procarbazine and CCNU is feasible and effective and results in a low rate of leukoencephalopathy."
"PA"	18953065	12	"leukoencephalopathy"	115	134	"Diseases & Disorders"	"CCNU"	55	59	"Chemicals & Drugs"	"The combination of high-dose MTX with procarbazine and CCNU is feasible and effective and results in a low rate of leukoencephalopathy."
"PA"	18434457	12	"anterior shoulder dislocation"	66	95	"Diseases & Disorders"	"Intra-articular injection of lidocaine"	0	38	"Chemicals & Drugs"	"Intra-articular injection of lidocaine before closed reduction of anterior shoulder dislocation produces the same pain relief as intravenous meperidine and diazepam."
"PA"	18434457	12	"pain"	114	118	"Diseases & Disorders"	"intravenous meperidine"	129	151	"Chemicals & Drugs"	"Intra-articular injection of lidocaine before closed reduction of anterior shoulder dislocation produces the same pain relief as intravenous meperidine and diazepam."
"PA"	18434457	12	"pain"	114	118	"Diseases & Disorders"	"diazepam"	156	164	"Chemicals & Drugs"	"Intra-articular injection of lidocaine before closed reduction of anterior shoulder dislocation produces the same pain relief as intravenous meperidine and diazepam."
"PA"	18434457	12	"anterior shoulder dislocation"	66	95	"Diseases & Disorders"	"diazepam"	156	164	"Chemicals & Drugs"	"Intra-articular injection of lidocaine before closed reduction of anterior shoulder dislocation produces the same pain relief as intravenous meperidine and diazepam."
"PA"	18434457	12	"anterior shoulder dislocation"	66	95	"Diseases & Disorders"	"intravenous meperidine"	129	151	"Chemicals & Drugs"	"Intra-articular injection of lidocaine before closed reduction of anterior shoulder dislocation produces the same pain relief as intravenous meperidine and diazepam."
"PA"	18434457	8	"pain"	5	9	"Diseases & Disorders"	"intra-articular lidocaine"	87	112	"Chemicals & Drugs"	"Mean pain (mm) recorded before injection, before reduction, and after reduction in the intra-articular lidocaine group was 84.3 (95% confidence interval (CI) 79.8 to 88.8), 52.6 (95% CI 45.2 to 60.1), and 27.3 (95% CI 19.9 to 34.7), respectively."
"PA"	18434457	12	"pain"	114	118	"Diseases & Disorders"	"Intra-articular injection of lidocaine"	0	38	"Chemicals & Drugs"	"Intra-articular injection of lidocaine before closed reduction of anterior shoulder dislocation produces the same pain relief as intravenous meperidine and diazepam."
"FA"	18371953	4	"glioma"	138	144	"Diseases & Disorders"	"indomethacin-loaded nanocapsules"	53	85	"Chemicals & Drugs"	"The aim of this study was to evaluate the effects of indomethacin-loaded nanocapsules and indomethacin ethyl ester-loaded nanocapsules on glioma cell lines."
"PA"	18371953	11	"glioma"	178	184	"Diseases & Disorders"	"indomethacin-loaded nanocapsules"	93	125	"Chemicals & Drugs"	"Another important finding was that the cytotoxic effect induced by 25 microM or 50 microM of indomethacin-loaded nanocapsules or indomethacin ethyl ester-loaded nanocapsules, in glioma cells was not observed in the organotypic cultures, indicating selective cytotoxicity of those formulations for tumoral cells."
"PA"	18371953	0	"glioma"	96	102	"Diseases & Disorders"	"indomethacin"	26	38	"Chemicals & Drugs"	"Selective cytotoxicity of indomethacin and indomethacin ethyl ester-loaded nanocapsules against glioma cell lines: an in vitro study."
"PA"	18371953	7	"glioma"	193	199	"Diseases & Disorders"	"indomethacin-loaded nanocapsules"	46	78	"Chemicals & Drugs"	"The main finding of the present study is that indomethacin-loaded nanocapsules formulation was more potent than a solution of indomethacin in decreasing the viability and cell proliferation of glioma lines."
"PA"	18371953	7	"glioma"	193	199	"Diseases & Disorders"	"solution of indomethacin"	114	138	"Chemicals & Drugs"	"The main finding of the present study is that indomethacin-loaded nanocapsules formulation was more potent than a solution of indomethacin in decreasing the viability and cell proliferation of glioma lines."
"PA"	18371953	9	"glioma"	22	28	"Diseases & Disorders"	"indomethacin ethyl ester-loaded nanocapsules"	100	144	"Chemicals & Drugs"	"In addition, when the glioma cells were exposed to 25 microM of indomethacin-loaded nanocapsules or indomethacin ethyl ester-loaded nanocapsules, a necrotic cell death was observed."
"FA"	18371953	0	"glioma"	96	102	"Diseases & Disorders"	"indomethacin ethyl ester-loaded nanocapsules"	43	87	"Chemicals & Drugs"	"Selective cytotoxicity of indomethacin and indomethacin ethyl ester-loaded nanocapsules against glioma cell lines: an in vitro study."
"PA"	18371953	9	"glioma"	22	28	"Diseases & Disorders"	"indomethacin-loaded nanocapsules"	64	96	"Chemicals & Drugs"	"In addition, when the glioma cells were exposed to 25 microM of indomethacin-loaded nanocapsules or indomethacin ethyl ester-loaded nanocapsules, a necrotic cell death was observed."
"PA"	18371953	11	"glioma"	178	184	"Diseases & Disorders"	"indomethacin ethyl ester-loaded nanocapsules"	129	173	"Chemicals & Drugs"	"Another important finding was that the cytotoxic effect induced by 25 microM or 50 microM of indomethacin-loaded nanocapsules or indomethacin ethyl ester-loaded nanocapsules, in glioma cells was not observed in the organotypic cultures, indicating selective cytotoxicity of those formulations for tumoral cells."
"PA"	18371953	12	"glioma"	37	43	"Diseases & Disorders"	"indomethacin ethyl ester-loaded nanocapsules"	140	184	"Chemicals & Drugs"	"Further investigations using in vivo glioma model should be helpful to confirm the distinct effects of indomethacin-loaded nanocapsules and indomethacin ethyl ester-loaded nanocapsules, in normal versus tumoral cells."
"PA"	18371953	4	"glioma"	138	144	"Diseases & Disorders"	"indomethacin ethyl ester-loaded nanocapsules"	90	134	"Chemicals & Drugs"	"The aim of this study was to evaluate the effects of indomethacin-loaded nanocapsules and indomethacin ethyl ester-loaded nanocapsules on glioma cell lines."
"PA"	18371953	8	"glioma"	134	140	"Diseases & Disorders"	"indomethacin ethyl ester"	17	41	"Chemicals & Drugs"	"Indomethacin and indomethacin ethyl ester associated together in the same nanocapsule formulation caused a synergic effect decreasing glioma cell proliferation."
"PA"	18371953	8	"glioma"	134	140	"Diseases & Disorders"	"Indomethacin"	0	12	"Chemicals & Drugs"	"Indomethacin and indomethacin ethyl ester associated together in the same nanocapsule formulation caused a synergic effect decreasing glioma cell proliferation."
"PA"	18371953	10	"glioma"	136	142	"Diseases & Disorders"	"indomethacin-loaded nanocapsules"	27	59	"Chemicals & Drugs"	"Interestingly, 5 microM of indomethacin-loaded nanocapsules was able to cause an antiproliferative effect without promoting necrosis in glioma cells."
"PA"	18371953	12	"glioma"	37	43	"Diseases & Disorders"	"indomethacin-loaded nanocapsules"	103	135	"Chemicals & Drugs"	"Further investigations using in vivo glioma model should be helpful to confirm the distinct effects of indomethacin-loaded nanocapsules and indomethacin ethyl ester-loaded nanocapsules, in normal versus tumoral cells."
"PA"	17483062	0	"visceral varicella-zoster infection"	84	119	"Diseases & Disorders"	"intravenous acyclovir"	137	158	"Chemicals & Drugs"	"Quantification of circulating varicella-zoster virus DNA for follow-up in a case of visceral varicella-zoster infection ameliorated with intravenous acyclovir."
"PA"	17483062	1	"visceral varicella-zoster virus"	74	105	"Diseases & Disorders"	"intravenous acyclovir"	211	232	"Chemicals & Drugs"	"We describe a patient with acute lymphocytic leukemia (ALL) who developed visceral varicella-zoster virus (VZV) infection following cord blood stem cell transplantation (CBSCT) and was successfully treated with intravenous acyclovir (ACV)."
"PA"	17483062	1	"VZV) infection"	107	121	"Diseases & Disorders"	"intravenous acyclovir"	211	232	"Chemicals & Drugs"	"We describe a patient with acute lymphocytic leukemia (ALL) who developed visceral varicella-zoster virus (VZV) infection following cord blood stem cell transplantation (CBSCT) and was successfully treated with intravenous acyclovir (ACV)."
"SA"	18220495	3	"refractory childhood-onset schizophrenia"	131	171	"Diseases & Disorders"	"clozapine"	183	192	"Chemicals & Drugs"	"Available studies in the literature using clozapine in the pediatric population are summarized and the NIMH experience in treating refractory childhood-onset schizophrenia cases with clozapine is discussed."
"PA"	18220495	1	"treatment-resistant schizophrenia"	55	88	"Diseases & Disorders"	"clozapine"	21	30	"Chemicals & Drugs"	"Although the role of clozapine is well established for treatment-resistant schizophrenia, it is rarely used in pediatric populations, mainly due to its potentially serious adverse effects."
"PA"	18220495	2	"schizophrenia"	77	90	"Diseases & Disorders"	"clozapine"	41	50	"Chemicals & Drugs"	"To summarize practical aspects of use of clozapine in treating children with schizophrenia and management of associated adverse effects."
"PA"	18220495	4	"refractory schizophrenia"	150	174	"Diseases & Disorders"	"clozapine"	59	68	"Chemicals & Drugs"	"Despite a higher incidence of adverse effects in children, clozapine appears to be a uniquely beneficial second-line agent for treating children with refractory schizophrenia."
"PA"	17976209	0	"Keratoacanthoma"	0	15	"Diseases & Disorders"	"red dye of a tattoo"	37	56	"Chemicals & Drugs"	"Keratoacanthoma occurring within the red dye of a tattoo."
"FA"	18300089	7	"ocular inflammation"	155	174	"Diseases & Disorders"	"antimetabolites"	12	27	"Chemicals & Drugs"	"Past use of antimetabolites, T-cell inhibitors, alkylating agents, and other immunosuppressives is ascertained from medical records of approximately 9,250 ocular inflammation patients at five tertiary centers over up to 30 years."
"SA"	18300089	11	"fatal cancer"	159	171	"Diseases & Disorders"	"immunosuppressive drugs"	75	98	"Chemicals & Drugs"	"Information from the SITE Cohort Study should clarify whether use of these immunosuppressive drugs for ocular inflammation increases the risk of mortality and fatal cancer."
"PA"	18300089	10	"fatal malignancy"	48	64	"Diseases & Disorders"	"antimetabolites"	120	135	"Chemicals & Drugs"	"Calculated detectable differences for mortality/fatal malignancy with respect to the general population are 22%/49% for antimetabolites, 28%/62% for T-cell inhibitors, and 36%/81% for alkylating agents."
"FA"	18300089	7	"ocular inflammation"	155	174	"Diseases & Disorders"	"alkylating agents"	48	65	"Chemicals & Drugs"	"Past use of antimetabolites, T-cell inhibitors, alkylating agents, and other immunosuppressives is ascertained from medical records of approximately 9,250 ocular inflammation patients at five tertiary centers over up to 30 years."
"FA"	18300089	7	"ocular inflammation"	155	174	"Diseases & Disorders"	"T-cell inhibitors"	29	46	"Chemicals & Drugs"	"Past use of antimetabolites, T-cell inhibitors, alkylating agents, and other immunosuppressives is ascertained from medical records of approximately 9,250 ocular inflammation patients at five tertiary centers over up to 30 years."
"PA"	18300089	10	"fatal malignancy"	48	64	"Diseases & Disorders"	"T-cell inhibitors"	149	166	"Chemicals & Drugs"	"Calculated detectable differences for mortality/fatal malignancy with respect to the general population are 22%/49% for antimetabolites, 28%/62% for T-cell inhibitors, and 36%/81% for alkylating agents."
"FA"	18300089	11	"ocular inflammation"	103	122	"Diseases & Disorders"	"immunosuppressive drugs"	75	98	"Chemicals & Drugs"	"Information from the SITE Cohort Study should clarify whether use of these immunosuppressive drugs for ocular inflammation increases the risk of mortality and fatal cancer."
"FA"	18300089	7	"ocular inflammation"	155	174	"Diseases & Disorders"	"immunosuppressives"	77	95	"Chemicals & Drugs"	"Past use of antimetabolites, T-cell inhibitors, alkylating agents, and other immunosuppressives is ascertained from medical records of approximately 9,250 ocular inflammation patients at five tertiary centers over up to 30 years."
"PA"	18300089	10	"fatal malignancy"	48	64	"Diseases & Disorders"	"alkylating agents"	184	201	"Chemicals & Drugs"	"Calculated detectable differences for mortality/fatal malignancy with respect to the general population are 22%/49% for antimetabolites, 28%/62% for T-cell inhibitors, and 36%/81% for alkylating agents."
"PA"	18923587	8	"miosis"	34	40	"Diseases & Disorders"	"Garcinia kola nut extract"	74	99	"Chemicals & Drugs"	"There were consistent significant miosis in the right eyes with instilled Garcinia kola nut extract compared to the left eyes at 15, 30 and 45 minutes (p=0.0000)."
"PA"	18342498	1	"asthma"	105	111	"Diseases & Disorders"	"ICSs"	66	70	"Chemicals & Drugs"	"There is evidence in the literature that inhaled corticosteroids (ICSs) are safe for pregnant women with asthma and their infants."
"PA"	18342498	1	"asthma"	105	111	"Diseases & Disorders"	"inhaled corticosteroids"	41	64	"Chemicals & Drugs"	"There is evidence in the literature that inhaled corticosteroids (ICSs) are safe for pregnant women with asthma and their infants."
"FA"	18452197	6	"dysplasias"	191	201	"Diseases & Disorders"	"DSS"	213	216	"Chemicals & Drugs"	"An inverse trend was observed between dose and multiplicity of colonic dysplasias in all drug-treated groups (P = 0.03), with animals receiving 75 mg/kg 5-ASA exhibiting 56% of the number of dysplasias of the AOM/DSS controls (mean +/- SEM: 7.6 +/- 1.4 and 13.6 +/- 2.7, respectively)."
"FA"	18452197	6	"colonic dysplasias"	63	81	"Diseases & Disorders"	"DSS"	213	216	"Chemicals & Drugs"	"An inverse trend was observed between dose and multiplicity of colonic dysplasias in all drug-treated groups (P = 0.03), with animals receiving 75 mg/kg 5-ASA exhibiting 56% of the number of dysplasias of the AOM/DSS controls (mean +/- SEM: 7.6 +/- 1.4 and 13.6 +/- 2.7, respectively)."
"FA"	18452197	0	"colitis"	138	145	"Diseases & Disorders"	"azoxymethane"	94	106	"Chemicals & Drugs"	"5-aminosalicylic acid inhibits colitis-associated colorectal dysplasias in the mouse model of azoxymethane/dextran sulfate sodium-induced colitis."
"PA"	18452197	0	"colitis-associated colorectal dysplasias"	31	71	"Diseases & Disorders"	"5-aminosalicylic acid"	0	21	"Chemicals & Drugs"	"5-aminosalicylic acid inhibits colitis-associated colorectal dysplasias in the mouse model of azoxymethane/dextran sulfate sodium-induced colitis."
"PA"	18452197	2	"colitis-associated neoplasia"	138	166	"Diseases & Disorders"	"dextran sulfate sodium"	101	123	"Chemicals & Drugs"	"The chemopreventive activity of 5-ASA was evaluated in the Swiss Webster model of azoxymethane (AOM)/dextran sulfate sodium (DSS)-induced colitis-associated neoplasia."
"SA"	18452197	9	"colitis-associated dysplasias"	72	101	"Diseases & Disorders"	"low-dose 5-ASA"	24	38	"Chemicals & Drugs"	"These data suggest that low-dose 5-ASA may be efficacious in preventing colitis-associated dysplasias and provide strong support for optimizing this therapy for the prevention of colonic neoplasms in patients with ulcerative colitis."
"SA"	18452197	9	"colonic neoplasms"	179	196	"Diseases & Disorders"	"low-dose 5-ASA"	24	38	"Chemicals & Drugs"	"These data suggest that low-dose 5-ASA may be efficacious in preventing colitis-associated dysplasias and provide strong support for optimizing this therapy for the prevention of colonic neoplasms in patients with ulcerative colitis."
"SA"	18452197	9	"ulcerative colitis"	214	232	"Diseases & Disorders"	"low-dose 5-ASA"	24	38	"Chemicals & Drugs"	"These data suggest that low-dose 5-ASA may be efficacious in preventing colitis-associated dysplasias and provide strong support for optimizing this therapy for the prevention of colonic neoplasms in patients with ulcerative colitis."
"SA"	18452197	1	"colitis-associated colorectal cancer"	87	123	"Diseases & Disorders"	"5-ASA"	64	69	"Chemicals & Drugs"	"The impact of the antiinflammatory agent 5-aminosalicylic acid (5-ASA) on the risk for colitis-associated colorectal cancer remains controversial."
"FA"	18452197	2	"colitis-associated neoplasia"	138	166	"Diseases & Disorders"	"azoxymethane"	82	94	"Chemicals & Drugs"	"The chemopreventive activity of 5-ASA was evaluated in the Swiss Webster model of azoxymethane (AOM)/dextran sulfate sodium (DSS)-induced colitis-associated neoplasia."
"FA"	18452197	7	"polypoid dysplasias"	177	196	"Diseases & Disorders"	"5-ASA"	27	32	"Chemicals & Drugs"	"Administration of 75 mg/kg 5-ASA decreased both the mean multiplicity of flat dysplasias (1.8 +/- 0.4 for drug-treated versus 5.6 +/- 1.2 for AOM/DSS control) and the burden of polypoid dysplasias (tumor burden: 6.7 +/- 2.7 for drug-treated versus 14.9 +/- 3.9 units for AOM/DSS controls) significantly (P = 0.002 and 0.04, respectively)."
"PA"	18452197	7	"tumor"	198	203	"Diseases & Disorders"	"5-ASA"	27	32	"Chemicals & Drugs"	"Administration of 75 mg/kg 5-ASA decreased both the mean multiplicity of flat dysplasias (1.8 +/- 0.4 for drug-treated versus 5.6 +/- 1.2 for AOM/DSS control) and the burden of polypoid dysplasias (tumor burden: 6.7 +/- 2.7 for drug-treated versus 14.9 +/- 3.9 units for AOM/DSS controls) significantly (P = 0.002 and 0.04, respectively)."
"PA"	18452197	6	"dysplasias"	191	201	"Diseases & Disorders"	"5-ASA"	153	158	"Chemicals & Drugs"	"An inverse trend was observed between dose and multiplicity of colonic dysplasias in all drug-treated groups (P = 0.03), with animals receiving 75 mg/kg 5-ASA exhibiting 56% of the number of dysplasias of the AOM/DSS controls (mean +/- SEM: 7.6 +/- 1.4 and 13.6 +/- 2.7, respectively)."
"PA"	18452197	7	"flat dysplasias"	73	88	"Diseases & Disorders"	"5-ASA"	27	32	"Chemicals & Drugs"	"Administration of 75 mg/kg 5-ASA decreased both the mean multiplicity of flat dysplasias (1.8 +/- 0.4 for drug-treated versus 5.6 +/- 1.2 for AOM/DSS control) and the burden of polypoid dysplasias (tumor burden: 6.7 +/- 2.7 for drug-treated versus 14.9 +/- 3.9 units for AOM/DSS controls) significantly (P = 0.002 and 0.04, respectively)."
"FA"	18452197	2	"colitis-associated neoplasia"	138	166	"Diseases & Disorders"	"DSS"	125	128	"Chemicals & Drugs"	"The chemopreventive activity of 5-ASA was evaluated in the Swiss Webster model of azoxymethane (AOM)/dextran sulfate sodium (DSS)-induced colitis-associated neoplasia."
"PA"	18452197	6	"colonic dysplasias"	63	81	"Diseases & Disorders"	"5-ASA"	153	158	"Chemicals & Drugs"	"An inverse trend was observed between dose and multiplicity of colonic dysplasias in all drug-treated groups (P = 0.03), with animals receiving 75 mg/kg 5-ASA exhibiting 56% of the number of dysplasias of the AOM/DSS controls (mean +/- SEM: 7.6 +/- 1.4 and 13.6 +/- 2.7, respectively)."
"PA"	17167348	0	"Spinal cord infarction"	0	22	"Diseases & Disorders"	"cocaine"	36	43	"Chemicals & Drugs"	"Spinal cord infarction secondary to cocaine use."
"PA"	17167348	8	"cerebrovascular events"	33	55	"Diseases & Disorders"	"Cocaine"	0	7	"Chemicals & Drugs"	"Cocaine abuse is associated with cerebrovascular events; spinal cord effects are rarely reported."
"PA"	17167348	11	"spinal cord infarction"	43	65	"Diseases & Disorders"	"cocaine"	19	26	"Chemicals & Drugs"	"Although uncommon, cocaine abuse can cause spinal cord infarction."
"SA"	17340045	1	"sarcoidosis"	55	66	"Diseases & Disorders"	"etanercept"	87	97	"Chemicals & Drugs"	"We report two rheumatoid arthritis patients developing sarcoidosis possibly induced by etanercept."
"FA"	17340045	9	"noninfectious granulomatous syndromes"	37	74	"Diseases & Disorders"	"etanercept"	97	107	"Chemicals & Drugs"	"Recently, there have been reports of noninfectious granulomatous syndromes in patients receiving etanercept for a variety of diseases."
"FA"	17340045	0	"sarcoidosis"	15	26	"Diseases & Disorders"	"etanercept"	30	40	"Chemicals & Drugs"	"Development of sarcoidosis in etanercept-treated rheumatoid arthritis patients."
"FA"	17340045	0	"rheumatoid arthritis"	49	69	"Diseases & Disorders"	"etanercept"	30	40	"Chemicals & Drugs"	"Development of sarcoidosis in etanercept-treated rheumatoid arthritis patients."
"FA"	17340045	5	"erythema nodosum"	20	36	"Diseases & Disorders"	"etanercept"	90	100	"Chemicals & Drugs"	"The other developed erythema nodosum and a plaque lesion on the right arm after 1 year of etanercept."
"SA"	18164769	4	"cancer"	65	71	"Diseases & Disorders"	"statin"	49	55	"Chemicals & Drugs"	"Furthermore, there may be a relationship between statin dose and cancer."
"FA"	17989313	0	"multiple myeloma"	173	189	"Diseases & Disorders"	"BiRD"	0	4	"Chemicals & Drugs"	"BiRD (Biaxin [clarithromycin]/Revlimid [lenalidomide]/dexamethasone) combination therapy results in high complete- and overall-response rates in treatment-naive symptomatic multiple myeloma."
"FA"	17989313	1	"multiple myeloma"	174	190	"Diseases & Disorders"	"BiRD"	142	146	"Chemicals & Drugs"	"This trial determined the safety and efficacy of the combination regimen clarithromycin (Biaxin), lenalidomide (Revlimid), and dexamethasone (BiRD) as first-line therapy for multiple myeloma."
"PA"	17989313	10	"multiple myeloma"	107	123	"Diseases & Disorders"	"BiRD"	0	4	"Chemicals & Drugs"	"BiRD is an effective regimen with manageable side effects in the treatment of symptomatic, newly diagnosed multiple myeloma."
"FA"	18299079	1	"endophthalmitis"	102	117	"Diseases & Disorders"	"antibiotics"	71	82	"Chemicals & Drugs"	"Recent prospective studies from Europe suggest the use of intracameral antibiotics for prophylaxis of endophthalmitis, although the studies did not make a comparison with the most common United States prophylaxis techniques."
"PA"	18299079	7	"endophthalmitis"	33	48	"Diseases & Disorders"	"antibiotics"	75	86	"Chemicals & Drugs"	"A multipronged approach to limit endophthalmitis risk is also needed, with antibiotics as only part of the strategy."
"PA"	17668247	3	"nephropathic cystinosis"	38	61	"Diseases & Disorders"	"i.v.) administration of cysteamine hydrochloride"	132	180	"Chemicals & Drugs"	"In this study, a 2-year-old girl with nephropathic cystinosis and severe gastrointestinal dysmotility was treated with intravenous (i.v.) administration of cysteamine hydrochloride (HCl)."
"PA"	18713852	12	"diarrhea"	119	127	"Diseases & Disorders"	"posaconazole"	59	71	"Chemicals & Drugs"	"The most common adverse effects associated with the use of posaconazole include headache, fever, nausea, vomiting, and diarrhea."
"PA"	18713852	9	"oropharyngeal candidiasis"	60	85	"Diseases & Disorders"	"Posaconazole"	0	12	"Chemicals & Drugs"	"Posaconazole is noninferior to fluconazole for treatment of oropharyngeal candidiasis (95% CI -6.6 to 5.0), but necessity for this indication remains unclear, as many other treatment options exist."
"PA"	18713852	8	"aspergillosis"	105	118	"Diseases & Disorders"	"itraconazole"	183	195	"Chemicals & Drugs"	"Similarly, the same regimen of posaconazole reduced invasive fungal infections (95% CI -9.7 to -2.5) and aspergillosis (CI not reported, p < 0.001) when compared with fluconazole and itraconazole in neutropenic patients."
"PA"	18713852	8	"invasive fungal infections"	52	78	"Diseases & Disorders"	"itraconazole"	183	195	"Chemicals & Drugs"	"Similarly, the same regimen of posaconazole reduced invasive fungal infections (95% CI -9.7 to -2.5) and aspergillosis (CI not reported, p < 0.001) when compared with fluconazole and itraconazole in neutropenic patients."
"PA"	18713852	12	"nausea"	97	103	"Diseases & Disorders"	"posaconazole"	59	71	"Chemicals & Drugs"	"The most common adverse effects associated with the use of posaconazole include headache, fever, nausea, vomiting, and diarrhea."
"PA"	18713852	12	"vomiting"	105	113	"Diseases & Disorders"	"posaconazole"	59	71	"Chemicals & Drugs"	"The most common adverse effects associated with the use of posaconazole include headache, fever, nausea, vomiting, and diarrhea."
